精美装修   采光很好  业主急售 带车位,锦华小区 _ 兴华南街,3室2厅 | 122.34平米 | 南 北 | 精装 | 7层  | 板楼,"VR看装修,房本满五年,随时看房,商业类",106万,单价8665元/平米
嵩山路航海路 2梯4户双地铁5.6号 喜多家 双气 朝南,兰德喜多家 _ 电力新村,2室2厅 | 80.42平米 | 南 | 简装 | 高楼层(共28层)  | 塔楼,"近地铁,VR房源,房本满五年,随时看房,商业类",126万,单价15668元/平米
绿地滨湖国际城 经典三居室 南环公园旁 业主诚心,绿地滨湖国际城七区 _ 万客来,3室1厅 | 86.03平米 | 东南 | 毛坯 | 高楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",106.9万,单价12426元/平米
三环内，万达旁，标准大两房，采光很棒，大落地窗,长江花园 _ 老航院,2室2厅 | 85.79平米 | 南 东南 | 简装 | 高楼层(共28层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",99万,单价11534元/平米
优质两房   南北通透   视野宽阔    采光充足,玉华园 _ 万客来,2室1厅 | 80.89平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",94万,单价11621元/平米
河医商圈，此房满五不唯一 ，产权清晰，采光好,香榭丽舍 _ 河医立交桥,1室1厅 | 57.62平米 | 东北 | 简装 | 低楼层(共31层)  | 板塔结合,"VR看装修,房本满两年,随时看房",94万,单价16314元/平米
大学路，地铁口，精庄婚房三居室,海悦雅居 _ 老航院,3室2厅 | 91.28平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,"VR看装修,房本满五年,随时看房",137万,单价15009元/平米
中间楼层 诚心卖  9月份满五唯一,长江一号B区 _ 万客来,2室2厅 | 89.57平米 | 南 | 简装 | 高楼层(共20层)  | 板楼,"VR看装修,房本满五年,随时看房",130.8万,单价14604元/平米
亚星盛世家园 3室2厅 南,亚星盛世家园 _ 兴华南街,3室2厅 | 113.24平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"VR房源,房本满两年,商业类",183万,单价16161元/平米
小高层一梯两户，装修好，户型好，采光充足交通便利,滨河名家 _ 兴华南街,4室2厅 | 165.37平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,"VR看装修,房本满五年",280万,单价16932元/平米
金二环 双地铁，花园社区 配套成熟,绿云社区高层 _ 市财政局,3室2厅 | 93.51平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年",133万,单价14224元/平米
三环边小两房，总价低，配套成熟,青秀佳苑 _ 万客来,2室1厅 | 60.8平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,"VR看装修,房本满两年,商业类",79.9万,单价13142元/平米
户型方正 通透性好南北双阳台的大 三  房,鑫苑名城北苑 _ 万客来,3室2厅 | 120.73平米 | 西南 | 精装 | 中楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",153.5万,单价12715元/平米
税满二年 通透大三房 东边户 采光好 远离高铁,泰宏建业国际城 _ 万客来,3室2厅 | 122.5平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",165万,单价13470元/平米
房子满五年，地铁5.6 号，二环里，陇海高架出行方便,政通路130号 _ 电力新村,3室2厅 | 147.51平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",132万,单价8949元/平米
招商央企开发 89平通透3居室 精装修 有本满二,招商天地华府 _ 万客来,3室2厅 | 88.96平米 | 北 南 | 简装 | 低楼层(共27层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",128万,单价14389元/平米
建业开发 通透三房 婚房装修 满五年 业主诚心,泰宏建业国际城9号院 _ 万客来,3室2厅 | 86.76平米 | 南 北 | 精装 | 低楼层(共29层)  | 塔楼,"VR房源,房本满五年,随时看房,商业类",145万,单价16713元/平米
二七区郑密路南四环绿地城 精装修大三房  带车位,郑州绿地城 _ 万客来,3室2厅 | 116.95平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",142.5万,单价12185元/平米
央企高品质精装修，未入住  楼层好边户大三房花园社区,招商天地华府 _ 万客来,3室2厅 | 121.27平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",155万,单价12782元/平米
地铁5号线 低总价 南北通户型，交通方便,二七区城建局家属院 _ 老航院,3室1厅 | 113.38平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房,商业类",94万,单价8291元/平米
次新小区，业主诚心出售，刚需小两房，看房方便,亚星金运外滩 _ 万客来,2室1厅 | 88.49平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",104万,单价11753元/平米
锦美南华府，电梯三房，双气，有钥匙,锦美南华府 _ 兴华南街,3室2厅 | 117.17平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",137万,单价11693元/平米
长江一号精装两房改的小三房一楼带院没有个税急售,长江一号B区 _ 万客来,3室2厅 | 90.42平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",140万,单价15484元/平米
喜多家通透户型，2梯4户，小高层，,兰德喜多家 _ 电力新村,3室2厅 | 104.64平米 | 西南 | 精装 | 中楼层(共26层)  | 塔楼,"VR看装修,房本满五年,随时看房,商业类",164万,单价15673元/平米
河医旁  三楼  满五年 户型好  诚心出售,棉纺路54号院 _ 河医立交桥,2室1厅 | 56.54平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,"VR房源,房本满两年,随时看房",49万,单价8667元/平米
兰亭名苑 2室2厅 南,兰亭名苑 _ 兴华南街,2室2厅 | 92.83平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",133万,单价14328元/平米
急卖 满二高楼层 改善大三房 毛坯房 全明户型 南北,亚星金运外滩 _ 万客来,3室2厅 | 129.19平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,"VR看装修,房本满两年,随时看房",148万,单价11456元/平米
满五唯一，自住精装南北通透拎包入住急卖,绿岛港湾 _ 万客来,3室2厅 | 115.19平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",137万,单价11894元/平米
碧沙岗  地铁口   双气精装   方正3居,香榭丽舍 _ 河医立交桥,3室1厅 | 115.05平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,"VR看装修,房本满两年",184万,单价15994元/平米
此房户型方正，买二+一户型 边户 楼层好 采光好.,锦绣山河玉畅园 _ 万客来,3室1厅 | 88.18平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,"VR看装修,房本满两年",120万,单价13609元/平米
双地铁口 满五年唯一，南北通透采光好，中间楼层,交通路155 _ 古玩城,3室2厅 | 80.32平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",80万,单价9961元/平米
中间好楼层，满两年毛坯新房；含地下车位一个,招商天地华府 _ 万客来,2室1厅 | 78.57平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",100万,单价12728元/平米
二环内 沙口路5号线，业主自住 单价低 的小两室,二环支路41号 _ 河医立交桥,2室2厅 | 69.23平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,商业类",69万,单价9967元/平米
亚星家园大三房，朝东院里，视野好，精装修,亚星盛世家园 _ 兴华南街,3室2厅 | 146.22平米 | 东 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,"近地铁,VR看装修,房本满五年,商业类",192万,单价13131元/平米
中苑名都 2室2厅 东南,中苑名都 _ 老郑大,2室2厅 | 90.86平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,"VR看装修,房本满五年,商业类",168万,单价18490元/平米
地铁口，满五唯一，精装修优质大两房，业主诚心出售,鑫苑鑫家一期 _ 万客来,2室1厅 | 88.88平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,"VR看装修,房本满两年,商业类",105万,单价11814元/平米
二七广场西大街地铁口 南彩社区 2楼小三房 便宜出售,南彩社区 _ 二七广场,3室1厅 | 73.13平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",60万,单价8205元/平米
三环内双气小区，雅居业主诚心出售，朝南两房,亚星盛世雅居 _ 兴华南街,2室2厅 | 87.98平米 | 南 西南 | 简装 | 低楼层(共34层)  | 板塔结合,"VR看装修,房本满五年",144万,单价16368元/平米
房子空置，看房方便，二七广场旁边 ，三号线地铁口。,楠桦小区 _ 火车站,1室1厅 | 45.29平米 | 南 西南 | 简装 | 中楼层(共22层)  | 板楼,"近地铁,VR看装修,房本满五年",39万,单价8612元/平米
满五唯一，二楼简装，随时看房，年代新。,郑飞家园 _ 兴华南街,2室2厅 | 81.33平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年",109.8万,单价13501元/平米
房子满五年，*四房，户型方正,橄榄城柏林印象 _ 万客来,3室2厅 | 114.36平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",127.5万,单价11150元/平米
业主诚心出售，年代新双气大三房,兰亭名苑 _ 兴华南街,3室2厅 | 116.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",156万,单价13368元/平米
标准全明三房，两房价位住三房地铁七号线，看房有钥匙,海悦雅居 _ 老航院,3室2厅 | 89.6平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,"VR看装修,房本满五年,随时看房",142万,单价15849元/平米
二环边便宜3房，业主着急出售，看房随时,二环支路25号院 _ 河医立交桥,3室2厅 | 116.29平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",83万,单价7138元/平米
中上楼层，视野采光刺眼，河景房，满五唯一，税费少,金牛水岸 _ 万客来,3室2厅 | 102.92平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,"VR看装修,房本满两年,随时看房",123万,单价11952元/平米
急售，急售、税少南三环，锦绣山河玉畅园满五唯一,锦绣山河玉畅园 _ 万客来,3室1厅 | 88.12平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房",111万,单价12597元/平米
满五唯一，看房随时，房子无贷款无抵押,兰德喜多家 _ 电力新村,3室2厅 | 89.94平米 | 西南 | 简装 | 中楼层(共28层)  | 塔楼,"近地铁,VR房源,房本满五年,随时看房",151万,单价16789元/平米
骨科医院家属院 多层三楼 可上幸福路和二中,桃园南街1号 _ 老郑大,4室1厅 | 115.63平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",143万,单价12368元/平米
香榭丽舍 3室2厅 南,香榭丽舍 _ 河医立交桥,3室2厅 | 137.37平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,"VR看装修,房本满五年,随时看房",220万,单价16016元/平米
四中 满五唯一 无抵押  南北通透三室  双阳台,绿洲书苑 _ 河医立交桥,3室2厅 | 141.95平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,"VR房源,房本满两年,随时看房",242万,单价17049元/平米
满五年唯一 小区环境优美    新小区  有钥匙,升龙城8号院 _ 市财政局,3室2厅 | 122.65平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,"VR房源,房本满五年,随时看房",163.8万,单价13356元/平米
绿地滨湖国际八区 大三房  精装修全家具家电,绿地滨湖国际八区 _ 万客来,3室2厅 | 115.81平米 | 南 西 北 | 精装 | 中楼层(共31层)  | 板塔结合,"VR看装修,房本满两年,随时看房",158万,单价13644元/平米
九号院   两梯四户 装修未住人 拎包入住 采光好,泰宏建业国际城 _ 万客来,3室2厅 | 89.32平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,"VR看装修,房本满五年,随时看房",130.5万,单价14611元/平米
地铁9号线300米，三环边中间好楼层，精装舒适,锦绣家园 _ 万客来,3室1厅 | 88.81平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,"VR看装修,房本满两年,随时看房",87万,单价9797元/平米
万科大都会天悦苑契税满两年精装小三房出售,万科大都会一期 _ 管南区域,3室2厅 | 87.85平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,"VR房源,房本满两年,随时看房",105万,单价11953元/平米
双气楼层佳，一梯两户，南北通透，有10平米下室,万山府院 _ 市财政局,2室2厅 | 100.95平米 | 北 南 | 其他 | 中楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",135万,单价13373元/平米
嘉业·嘉境上品 3室2厅 南 北,嘉业·嘉境上品 _ 万客来,3室2厅 | 123.98平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",169万,单价13632元/平米
急售！朝南 全明 两梯四户 改善盘 税少 价可谈 有钥匙,亚星盛世雅居 _ 兴华南街,2室2厅 | 87.25平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",149万,单价17078元/平米
亚星盛世家园，满五唯一，精装修。拎包入住。,亚星盛世家园 _ 兴华南街,3室1厅 | 125.5平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,"VR看装修,房本满五年,随时看房,商业类",180万,单价14343元/平米
此房满五唯一，能贷款，一楼带院，出行方便，精装修。,新建街小区 _ 鞋城,2室1厅 | 57.88平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",61万,单价10540元/平米
二环里，交通方便，业主诚心出售,新圃西街1号院 _ 鞋城,2室1厅 | 61.46平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",55万,单价8949元/平米
诚心出售   看房有钥匙  电梯双气环境好,长江一号B区 _ 万客来,2室2厅 | 81.18平米 | 南 | 简装 | 高楼层(共21层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",113万,单价13920元/平米
房子精装修，两卧朝南，有电动车棚，满五唯一,庆丰街 _ 古玩城,2室1厅 | 76.1平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,"VR房源,房本满五年,随时看房,商业类",79.9万,单价10500元/平米
地铁口成熟配套，通透三房，全明户型，采光充足,鑫苑鑫家一期 _ 万客来,3室2厅 | 88.39平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",96万,单价10861元/平米
地铁7号线 绿地滨湖国际城 一级物业 全款房 业主急售,绿地滨湖国际城七区 _ 万客来,3室2厅 | 86.36平米 | 东南 | 简装 | 低楼层(共27层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",108万,单价12506元/平米
泰宏建业国际城11号院 通透小三房 精装修。,泰宏建业国际城11号院 _ 万客来,3室2厅 | 89.09平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",122万,单价13695元/平米
满两年，精装修两房，看房有钥匙.,郑州绿地城 _ 万客来,2室2厅 | 77.53平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",86.9万,单价11209元/平米
全明户型，满五唯一，无杂税，业主诚意卖房,京广花园 _ 老航院,1室1厅 | 56.55平米 | 西 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",62万,单价10964元/平米
大开发商，精装修，楼层好采光足空气清新，户型方正,郑州绿地城 _ 万客来,2室1厅 | 77.53平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",85万,单价10964元/平米
满五精装地铁口，南北通透采光好,正商城和园6号院 _ 万客来,2室2厅 | 86.66平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房,商业类",129万,单价14886元/平米
御景台 精装修大两房 全明户型 业主急售。,御景台 _ 万客来,2室2厅 | 87.91平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",125万,单价14220元/平米
万达旁大两房，业主急售，随时可以看房,长江花园 _ 老航院,2室2厅 | 83.49平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",98万,单价11738元/平米
三开间朝南，中间楼层，看房方便,招商天地华府 _ 万客来,3室2厅 | 88.25平米 | 南 | 毛坯 | 中楼层(共27层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",120万,单价13598元/平米
城市山水 1室1厅 北,城市山水 _ 兴华南街,1室1厅 | 28.53平米 | 北 | 简装 | 高楼层(共28层)  | 板塔结合,"VR看装修,房本满五年,随时看房",40万,单价14021元/平米
三环内  精装大两房  业主急售  自住室内干净整洁,芙蓉花苑 _ 老航院,2室1厅 | 94.33平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,"VR看装修,商业类",107万,单价11344元/平米
建业物业 人车分流 好楼层 税费少 诚心卖,泰宏建业国际城 _ 万客来,3室2厅 | 90.44平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,"VR看装修,商业类",128万,单价14154元/平米
南北通透精装大三房 中间楼层 看房方便,都市丽茵 _ 河医立交桥,3室2厅 | 136.31平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满两年,商业类",156万,单价11445元/平米
满五唯一，精装26万，看房方便，业主诚心出售,锦绣山河玉畅园 _ 万客来,4室2厅 | 137.89平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,"VR看装修,房本满五年,商业类",171万,单价12402元/平米
满二年精装修 税费少 拎包入住 看房方便,亚星金运外滩 _ 万客来,3室2厅 | 118.94平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,"VR看装修,房本满两年,商业类",148.9万,单价12518元/平米
郑大旁 地铁口纯南三房 满五唯一 业主诚心出售,谦祥万和城二期 _ 新郑大,3室2厅 | 87.27平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",130万,单价14897元/平米
升龙又一城  地铁口 双气 优质小三房 有本 全款房,升龙又一城1号院 _ 新郑大,3室2厅 | 90.36平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,"近地铁,VR看装修,房本满两年,随时看房",123万,单价13613元/平米
B4户型楼层好，全款房，交通便利，不临街,朗悦公园道1号玺园 _ 新郑大,3室2厅 | 88.86平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,"VR看装修,房本满两年,商业类",172万,单价19357元/平米
满五年不唯一 带200平米露台，全部家具家电，加长车位,谦祥万和城一期 _ 新郑大,3室1厅 | 139.95平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",200万,单价14291元/平米
三环内，低总价，交通便利，低密舒适,红河瀛园一期东院 _ 五龙口,2室1厅 | 104.57平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,"VR看装修,房本满五年,随时看房",111万,单价10615元/平米
升龙又一城2号院   精装小三房 中间楼层 采光好,升龙又一城2号院 _ 新郑大,3室2厅 | 90.65平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,"近地铁,VR看装修,房本满五年,商业类",126万,单价13900元/平米
河景湖畔景观房    精装修可拎包入住  诚心出售,新和鑫观悦 _ 新郑大,4室2厅 | 128.21平米 | 南 西 北 | 精装 | 中楼层(共34层)  | 板楼,"VR看装修,房本满两年",165万,单价12870元/平米
帝苑别墅 3室1厅 南,帝苑别墅 _ 石佛,3室1厅 | 87.74平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年,商业类",136万,单价15501元/平米
此房商品房、满两年，诚心出售！,万科城采薇苑 _ 新郑大,3室2厅 | 117.66平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",187万,单价15894元/平米
公园道南苑，业主诚心卖，房子精装修，看房很方便,公园道南苑 _ 新郑大,4室2厅 | 131.03平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",255万,单价19462元/平米
荣邦城二期 中间楼栋 中高楼层 视野开阔,荣邦城 _ 石佛,3室2厅 | 131.1平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",173万,单价13197元/平米
业主诚心出售，户型方正，采光充足，楼层好,祝福红城 _ 石佛,3室2厅 | 110.74平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,"VR看装修,房本满五年,随时看房",133万,单价12011元/平米
精装三房，万科城商圈，朝南户型，，,万科城紫兰苑 _ 新郑大,3室2厅 | 85.11平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,"VR房源,房本满两年,随时看房",116万,单价13630元/平米
换房急售 三环内 多层双气三房 南北通透 满五随时住,通和明镜台 _ 五龙口,3室2厅 | 96.01平米 | 南 北 | 精装 | 6层  | 板楼,"VR房源,房本满五年,随时看房",126万,单价13124元/平米
三环内花园社区，满两年看房方便，业主诚心出售,托斯卡纳 _ 五龙口,2室2厅 | 85.99平米 | 南 | 精装 | 15层  | 板楼,"VR看装修,房本满两年,随时看房",103万,单价11979元/平米
西三环 建业开发  精装修 小三房 拎包入住,五龙新城香逸园 _ 五龙口,3室2厅 | 86.67平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,"VR看装修,房本满五年,商业类",124万,单价14308元/平米
托斯卡纳精装修，顶楼复式，一楼面积80多平，四房双卫,托斯卡纳 _ 五龙口,4室2厅 | 81.62平米 | 南 | 精装 | 11层  | 板楼,"VR房源,房本满五年,随时看房",118万,单价14458元/平米
五龙口，地铁口满五唯一南北通透大三房,全威花园 _ 五龙口,3室2厅 | 109.9平米 | 东南 南 北 | 简装 | 18层  | 板塔结合,"VR看装修,房本满五年,随时看房",130万,单价11829元/平米
160平第三层可塑造 适合大户人家,托斯卡纳 _ 五龙口,4室2厅 | 160.6平米 | 南 北 | 精装 | 15层  | 板楼,"VR房源,房本满两年,随时看房",200万,单价12454元/平米
中间三房，观景楼层 ，视野开阔，光线充足,谦祥万和城二期 _ 新郑大,3室2厅 | 89.04平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",121万,单价13590元/平米
望湖花园南北通透，通风采光好视野无遮挡,非常旺角望湖花园 _ 五龙口,3室2厅 | 130.4平米 | 南 北 | 简装 | 18层  | 塔楼,"VR看装修,房本满五年,随时看房",143万,单价10967元/平米
业主急售，房子满五唯一，方便看房,宏莲花园 _ 石佛,4室1厅 | 122.63平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"VR房源,随时看房",148万,单价12069元/平米
通透户型复式 一层面积75平 3房2卫,托斯卡纳 _ 五龙口,3室2厅 | 75.12平米 | 南 北 西 | 简装 | 20层  | 板塔结合,"VR房源,房本满五年,随时看房",117.5万,单价15642元/平米
小三房，   满五唯一 ，户型方正,祝福红城 _ 石佛,3室2厅 | 89.14平米 | 东北 | 简装 | 高楼层(共34层)  | 板塔结合,"VR看装修,房本满两年,随时看房",118万,单价13238元/平米
公园道南苑，精装修双气，业主诚心出售,公园道南苑 _ 新郑大,3室2厅 | 89.88平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,"VR看装修,房本满两年,随时看房",152万,单价16912元/平米
大三房，小高层，五龙口稀有，落地窗,红河瀛园二期 _ 五龙口,3室1厅 | 108.07平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,"VR看装修,房本满五年,随时看房",129万,单价11937元/平米
地铁口满五年唯一双卫南北通透三房,新芒果春天 _ 新郑大,3室2厅 | 117.05平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",142万,单价12132元/平米
升龙又一城2号院 3室1厅 南,升龙又一城2号院 _ 新郑大,3室1厅 | 90.67平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",119万,单价13125元/平米
天健湖万科城雅梅苑 小三房 业主称心出售 随时看房,万科城雅梅苑 _ 新郑大,3室2厅 | 89.22平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,"VR看装修,房本满两年,随时看房",123万,单价13787元/平米
建业开发，五龙新城精装小三房，全新未入住,五龙新城香逸园 _ 五龙口,3室2厅 | 83.7平米 | 西南 | 精装 | 低楼层(共33层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",120.5万,单价14397元/平米
楼层好，采光充足，两室一厅，业主诚心出售,高新·锦绣苑 _ 石佛,2室1厅 | 73.55平米 | 西 北 | 简装 | 高楼层(共23层)  | 塔楼,"VR看装修,房本满五年,随时看房,商业类",73.5万,单价9994元/平米
